#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,151,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T20:17:10.557634393Z,0.33,down_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,151,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T20:37:11.437107987Z,0.69,down_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,151,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T21:26:13.515694831Z,0.61,down_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,151,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T21:27:13.570704073Z,0.74,down_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,151,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T21:29:13.66857509Z,0.54,down_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,151,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T21:30:13.715627401Z,2.18,down_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,151,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T21:34:13.904068554Z,12.22,down_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,151,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T21:38:14.074932809Z,0.47,down_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,151,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T22:17:15.775906056Z,0.8,down_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,151,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T22:44:16.945455594Z,7.55,down_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,151,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T22:47:17.076971359Z,4.71,down_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,151,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T23:25:18.733481208Z,8.56,down_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,151,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T23:44:19.605140387Z,24.38,down_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,151,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T23:47:19.747099848Z,27.37,down_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,151,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-02T00:00:20.303045156Z,11.62,down_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,151,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-02T00:08:20.61288511Z,16.89,down_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,152,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T20:17:10.557634393Z,UDP/19328,service,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,152,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T20:37:11.437107987Z,UDP/19328,service,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,152,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T21:26:13.515694831Z,UDP/19328,service,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,152,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T21:27:13.570704073Z,UDP/19328,service,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,152,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T21:29:13.66857509Z,UDP/19328,service,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,152,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T21:30:13.715627401Z,UDP/19328,service,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,152,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T21:34:13.904068554Z,UDP/19328,service,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,152,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T21:38:14.074932809Z,UDP/19328,service,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,152,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T22:17:15.775906056Z,UDP/19328,service,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,152,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T22:44:16.945455594Z,UDP/19328,service,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,152,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T22:47:17.076971359Z,UDP/19328,service,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,152,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T23:25:18.733481208Z,UDP/19328,service,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,152,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T23:44:19.605140387Z,UDP/19328,service,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,152,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T23:47:19.747099848Z,UDP/19328,service,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,152,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-02T00:00:20.303045156Z,UDP/19328,service,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,152,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-02T00:08:20.61288511Z,UDP/19328,service,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,153,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T20:17:10.557634393Z,4,severity,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,153,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T20:37:11.437107987Z,4,severity,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,153,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T21:26:13.515694831Z,4,severity,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,153,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T21:27:13.570704073Z,4,severity,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,153,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T21:29:13.66857509Z,4,severity,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,153,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T21:30:13.715627401Z,4,severity,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,153,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T21:34:13.904068554Z,4,severity,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,153,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T21:38:14.074932809Z,4,severity,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,153,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T22:17:15.775906056Z,4,severity,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,153,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T22:44:16.945455594Z,4,severity,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,153,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T22:47:17.076971359Z,4,severity,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,153,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T23:25:18.733481208Z,4,severity,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,153,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T23:44:19.605140387Z,4,severity,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,153,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T23:47:19.747099848Z,4,severity,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,153,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-02T00:00:20.303045156Z,4,severity,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,153,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-02T00:08:20.61288511Z,4,severity,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,154,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T20:17:10.557634393Z,29.659999999999997,total_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,154,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T20:37:11.437107987Z,28.860000000000003,total_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,154,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T21:26:13.515694831Z,22.72,total_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,154,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T21:27:13.570704073Z,25.619999999999997,total_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,154,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T21:29:13.66857509Z,17.91,total_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,154,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T21:30:13.715627401Z,19.66,total_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,154,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T21:34:13.904068554Z,40.46,total_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,154,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T21:38:14.074932809Z,23.529999999999998,total_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,154,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T22:17:15.775906056Z,29.470000000000002,total_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,154,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T22:44:16.945455594Z,35.019999999999996,total_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,154,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T22:47:17.076971359Z,32.18,total_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,154,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T23:25:18.733481208Z,32.79,total_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,154,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T23:44:19.605140387Z,53.37,total_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,154,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T23:47:19.747099848Z,56.3,total_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,154,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-02T00:00:20.303045156Z,40.81,total_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,154,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-02T00:08:20.61288511Z,45.629999999999995,total_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,155,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T20:17:10.557634393Z,29.33,up_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,155,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T20:37:11.437107987Z,28.17,up_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,155,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T21:26:13.515694831Z,22.11,up_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,155,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T21:27:13.570704073Z,24.88,up_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,155,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T21:29:13.66857509Z,17.37,up_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,155,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T21:30:13.715627401Z,17.48,up_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,155,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T21:34:13.904068554Z,28.24,up_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,155,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T21:38:14.074932809Z,23.06,up_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,155,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T22:17:15.775906056Z,28.67,up_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,155,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T22:44:16.945455594Z,27.47,up_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,155,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T22:47:17.076971359Z,27.47,up_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,155,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T23:25:18.733481208Z,24.23,up_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,155,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T23:44:19.605140387Z,28.99,up_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,155,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T23:47:19.747099848Z,28.93,up_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,155,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-02T00:00:20.303045156Z,29.19,up_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,155,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-02T00:08:20.61288511Z,28.74,up_mb,anomaly_ml,104.29.146.39,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,156,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-10T21:21:30.801922611Z,Zadna,domain,anomaly_ml,104.29.146.88,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,157,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-10T21:21:30.801922611Z,0.55,down_mb,anomaly_ml,104.29.146.88,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,158,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-10T21:21:30.801922611Z,UDP/19313,service,anomaly_ml,104.29.146.88,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,159,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-10T21:21:30.801922611Z,1.26,total_mb,anomaly_ml,104.29.146.88,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,160,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-10T21:21:30.801922611Z,0.71,up_mb,anomaly_ml,104.29.146.88,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,161,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-07T22:44:42.8783708Z,Zadna,domain,anomaly_ml,104.29.146.91,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,162,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-07T22:44:42.8783708Z,9.55,down_mb,anomaly_ml,104.29.146.91,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,163,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-07T22:44:42.8783708Z,UDP/19339,service,anomaly_ml,104.29.146.91,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,164,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-07T22:44:42.8783708Z,4,severity,anomaly_ml,104.29.146.91,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
