#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-09T16:18:33.141975841Z,43.23,down_mb,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-09T16:31:33.640256127Z,79.66,down_mb,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T17:41:19.16220484Z,25.25,down_mb,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T17:45:19.317616567Z,14.96,down_mb,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T17:48:19.45215209Z,0.33,down_mb,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T17:59:19.980869938Z,6.07,down_mb,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T18:02:20.128821853Z,0.31,down_mb,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T18:08:20.588246607Z,90.31,down_mb,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T19:02:23.212111108Z,1.23,down_mb,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T22:01:30.337741688Z,1.11,down_mb,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,2,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T22:50:32.434967144Z,6.31,down_mb,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T17:41:19.16220484Z,0.19811320754716982,fail_ratio,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T17:45:19.317616567Z,0.13333333333333333,fail_ratio,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T17:48:19.45215209Z,0.10294117647058823,fail_ratio,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T17:59:19.980869938Z,0.17117117117117117,fail_ratio,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
