#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,mac,mode,old_mac
,,0,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:46:26.918310721Z,192.168.69.5,ip,anomaly_arp_spoof,08:00:27:b6:5c:c2,home,10:7c:61:06:b1:fc
,,0,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:46:40.935156858Z,192.168.69.5,ip,anomaly_arp_spoof,08:00:27:b6:5c:c2,home,10:7c:61:06:b1:fc
,,0,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:46:40.955729932Z,192.168.69.5,ip,anomaly_arp_spoof,08:00:27:b6:5c:c2,home,10:7c:61:06:b1:fc

#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,mac,mode,old_mac
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:42:54.774450615Z,5,severity,anomaly_arp_spoof,08:00:27:b6:5c:c2,home,10:7c:61:06:b1:fc
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:42:54.777446915Z,5,severity,anomaly_arp_spoof,08:00:27:b6:5c:c2,home,10:7c:61:06:b1:fc
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:43:02.804121633Z,5,severity,anomaly_arp_spoof,08:00:27:b6:5c:c2,home,10:7c:61:06:b1:fc
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:43:02.804629133Z,5,severity,anomaly_arp_spoof,08:00:27:b6:5c:c2,home,10:7c:61:06:b1:fc
