#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T13:04:04.421201883Z,4,severity,anomaly_banned_domain,DNS/Web,FUJITSU LIMITED,192.168.69.213,Zakazana domena,74:2b:62:7b:33:cd,home
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T13:05:04.503493752Z,4,severity,anomaly_banned_domain,DNS/Web,FUJITSU LIMITED,192.168.69.213,Zakazana domena,74:2b:62:7b:33:cd,home
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T13:06:04.556010767Z,4,severity,anomaly_banned_domain,DNS/Web,FUJITSU LIMITED,192.168.69.213,Zakazana domena,74:2b:62:7b:33:cd,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-03-29T19:14:32.730060792Z,2,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-03-29T19:15:32.767021182Z,1,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-03-29T19:16:32.809762265Z,1,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-03-29T21:00:43.720746456Z,2,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-03-29T21:00:43.723668233Z,1,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-03-29T21:01:43.764653613Z,1,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-03-30T22:00:45.830045364Z,6,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-03-31T17:38:39.402626193Z,6,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-03-31T17:40:39.482828387Z,2,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-03-31T19:55:23.116074346Z,6,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T10:56:22.470727107Z,14,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T10:56:22.476354406Z,4,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T10:56:22.479339555Z,4,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T10:56:22.482262094Z,4,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T10:56:26.575681238Z,14,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T10:56:26.60013038Z,4,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T10:56:26.60395116Z,4,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T10:56:26.607625032Z,4,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-01T10:57:22.517511992Z,2,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
